left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,Activity
301.66,69.29,25.04,27.44,336.8,18.15,263.22,106.08,Sitting
304.09,71.3,23.89,28.5,336.86,17.92,262.83,107.08,Sitting
304.58,72.47,23.31,28.07,337.2,16.98,262.18,110.21,Sitting
306.44,73.08,23.02,28.61,337.16,17.04,261.83,109.31,Sitting
306.76,73.18,23.4,28.23,337.44,16.65,260.69,109.79,Sitting
307.53,73.3,23.6,28.4,337.2,16.98,259.79,109.89,Sitting
309.53,73.94,23.69,28.24,337.39,17.04,259.11,110.21,Sitting
310.63,74.04,23.6,27.9,337.44,16.7,258.29,111.65,Sitting
311.2,75.17,24.17,28.11,337.44,17.08,258.29,109.89,Sitting
312.24,76.85,24.35,29.27,337.83,17.15,257.92,109.89,Sitting
310.81,75.85,24.66,28.61,337.69,16.71,259.79,110.11,Sitting
309.95,71.05,25.33,28.03,338.26,16.77,258.77,111.43,Sitting
309.15,69.97,25.61,27.4,338.27,16.39,260.01,110.02,Sitting
309.15,70.5,25.61,27.63,338.22,16.54,261.13,109.06,Sitting
310.83,68.25,25.59,27.5,338.4,16.65,261.2,109.46,Sitting
310.45,69.46,25.97,27.45,338.36,16.64,261.2,107.08,Sitting
310.9,72.54,25.97,27.3,338.36,16.69,261.55,107.08,Sitting
312.42,75.12,26.32,27.1,337.93,16.59,260.56,108.43,Sitting
312.2,72.17,26.54,26.88,337.88,16.44,259.02,110.42,Sitting
313.39,73.29,26.32,27.06,337.98,16.49,260.17,109.78,Sitting
312.68,74.49,26.54,27.25,337.84,16.49,260.17,109.74,Sitting
314.2,74.49,26.42,26.87,338.13,16.11,260.21,110.23,Sitting
314.08,76.9,26.2,27.25,338.27,16.11,260.21,110.23,Sitting
314.04,76.65,25.74,27.11,338.17,16.16,259.46,111.29,Sitting
314.04,73.96,25.84,27.16,338.03,16.6,259.12,110.46,Sitting
314.04,72.88,25.94,26.92,337.89,16.54,258.77,109.46,Sitting
313.22,73.88,25.84,27.16,337.98,16.6,259.25,110.42,Sitting
312.66,73.88,25.28,27.16,337.64,16.65,259.95,109.46,Sitting
312.71,74.78,25.94,27.35,337.54,16.65,259.13,109.1,Sitting
312.71,74.69,25.94,27.35,337.54,16.54,258.79,110.7,Sitting
313.48,74.78,25.38,27.35,337.84,16.54,258.41,110.7,Sitting
313.1,76.29,26.4,28.22,337.3,16.88,259.79,108.5,Sitting
313.65,76.82,26.57,28.13,337.35,17.37,260.06,107.72,Sitting
313.49,76.77,27.95,27.88,337.06,17.59,261.2,106.86,Sitting
314.5,77.44,28.5,28.41,337.06,17.92,260.86,106.42,Sitting
314.5,78.12,28.11,28.26,337.1,17.98,260.86,106.47,Sitting
314.97,77.83,28.02,27.72,337.54,17.65,261.37,106.86,Sitting
313.95,76.52,27.85,27.54,337.5,17.65,261.63,107.22,Sitting
314.5,76.23,28.4,27.21,337.16,17.7,262.28,107.22,Sitting
314.03,75.22,28.4,27.1,337.5,17.81,261.56,107.57,Sitting
314.72,75.35,28.8,26.71,337.73,17.42,261.23,108.03,Sitting
313.37,75.35,28.44,26.71,337.93,17.42,261.82,107.98,Sitting
313.27,74.42,27.89,26.54,337.59,17.76,262.13,107.53,Sitting
312.55,73.4,28.06,26.37,337.97,17.76,261.82,107.53,Sitting
311.86,73.38,28.21,26.31,337.97,17.7,261.82,106.56,Sitting
310.73,72.86,28.35,26.45,337.97,17.65,261.82,106.56,Sitting
310.6,72.26,27.79,26.31,338.31,17.7,261.15,106.56,Sitting
310.89,71.03,27.56,26.54,338.4,17.81,261.95,106.56,Sitting
307.61,70.55,27.32,25.28,338.78,17.75,261.97,106.15,Sitting
306.01,66.76,27.15,23.98,338.66,17.58,263.5,106.32,Sitting
304.38,66.76,27.09,24.57,338.63,17.69,263.5,107.32,Sitting
302.89,66.46,27.01,24.12,338.66,17.24,263.5,106.82,Sitting
300.53,67.47,26.5,24.63,338.31,17.01,262.67,107.0,Sitting
299.97,68.13,25.95,25.17,338.64,17.35,261.95,106.24,Sitting
300.81,68.76,26.04,23.94,338.46,17.07,262.76,104.99,Sitting
300.69,69.34,25.92,24.47,338.46,17.47,262.76,103.11,Sitting
300.96,69.78,25.74,23.94,338.09,17.47,263.39,103.11,Sitting
300.13,68.79,26.39,23.85,337.7,17.47,262.06,105.24,Sitting
300.96,68.27,27.12,24.37,337.74,17.13,262.39,105.71,Sitting
299.31,69.01,27.04,25.13,337.94,17.63,260.97,105.32,Sitting
297.65,69.54,27.29,24.99,337.9,18.03,261.82,104.56,Sitting
298.49,70.63,26.91,24.54,338.32,17.57,260.63,103.92,Sitting
300.01,70.7,27.06,24.15,338.34,17.18,261.88,104.68,Sitting
300.82,70.7,27.62,24.54,338.04,17.22,261.74,104.64,Sitting
300.51,69.74,27.89,23.85,338.1,17.13,262.26,105.67,Sitting
300.91,70.27,27.75,23.71,338.04,17.57,261.74,104.23,Sitting
301.77,70.85,28.02,24.0,338.1,17.18,262.33,104.6,Sitting
302.33,71.87,28.12,24.48,338.27,17.51,262.6,103.11,Sitting
302.2,70.39,28.16,24.47,337.77,17.12,262.9,103.55,Sitting
302.47,71.87,28.35,24.54,338.14,17.52,262.6,104.89,Sitting
303.38,71.34,28.16,24.68,338.06,17.47,263.47,104.89,Sitting
304.25,72.5,28.06,24.62,337.82,17.42,264.88,103.83,Sitting
305.84,72.02,28.26,25.21,338.23,17.87,263.73,103.12,Sitting
306.91,71.86,29.06,25.37,337.8,17.58,263.5,102.8,Sitting
309.11,72.98,29.33,25.71,337.86,17.86,264.28,102.38,Sitting
309.67,72.28,29.11,26.02,337.94,17.82,263.83,102.42,Sitting
311.46,72.28,28.74,26.41,338.31,18.21,263.2,102.05,Sitting
313.35,72.78,28.9,26.88,338.31,18.09,263.2,102.01,Sitting
313.05,74.69,29.05,27.06,338.31,18.03,263.2,103.05,Sitting
313.73,75.72,28.44,27.45,338.81,18.42,262.55,102.67,Sitting
313.89,75.65,28.59,27.45,338.77,18.08,263.36,103.4,Sitting
313.89,77.21,28.59,27.87,338.81,18.08,262.55,105.03,Sitting
312.61,77.39,28.23,27.63,338.85,17.97,262.55,105.03,Sitting
311.93,76.85,28.72,28.17,338.98,18.31,262.29,104.63,Sitting
311.93,78.23,28.35,27.78,339.02,17.92,262.63,105.03,Sitting
311.35,80.47,27.85,27.63,338.93,18.31,261.76,104.28,Sitting
311.77,80.84,27.48,27.0,338.97,17.81,261.83,104.68,Sitting
